date,trend_signal,vol,prob,close
2016-02-09,0.0,57.9112948187,0.0654977876539,3947.8
2016-02-10,0.0,56.1301173969,0.101920020185,3966.28
2016-02-11,0.0,53.4330780217,0.0874509671294,3962.22
2016-02-12,0.0,47.5784497595,0.10368622282,4019.19
2016-02-16,0.0,53.2763278069,0.118615653999,4104.33
2016-02-17,1.0,56.6267000592,0.210221012655,4199.1
2016-02-18,1.0,48.9647662916,0.227204809474,4151.49
2016-02-19,1.0,46.0573124716,0.20615585387,4164.09
2016-02-22,1.0,50.0271380875,0.236549499764,4231.27
2016-02-23,1.0,50.3704521257,0.174241635454,4162.54
2016-02-24,1.0,60.4874785825,0.199442796634,4200.66
2016-02-25,1.0,49.2045821267,0.227561454263,4241.06
2016-02-26,1.0,44.8254319632,0.181382239269,4235.62
2016-02-29,1.0,48.0976661782,0.181809570178,4201.12
2016-03-01,1.0,58.1046115136,0.318176909316,4333.61
2016-03-02,1.0,41.5385462338,0.386547847489,4334.39
2016-03-03,1.0,42.3795000113,0.390314600768,4325.86
2016-03-04,1.0,46.1079017806,0.424699449767,4329.0
2016-03-07,1.0,46.9883367627,0.517824824563,4303.33
2016-03-08,1.0,45.0052698744,0.515226031396,4265.51
2016-03-09,1.0,41.6022386672,0.528653041245,4293.23
2016-03-10,1.0,57.0210733955,0.477974367671,4286.97
2016-03-11,1.0,50.5862115433,0.681720222307,4361.83
2016-03-14,1.0,40.579042676,0.607829816362,4367.33
2016-03-15,1.0,40.7391229688,0.735750617478,4367.08
2016-03-16,1.0,46.8346245858,0.759753346092,4404.2
2016-03-17,1.0,41.8217009358,0.765676629978,4400.26
2016-03-18,1.0,41.1065504517,0.768589629885,4410.83
2016-03-21,1.0,40.468644652,0.68685081037,4426.98
2016-03-22,1.0,44.8512197779,0.757396829079,4437.62
2016-03-23,1.0,43.3190674046,0.691578829893,4402.56
2016-03-24,1.0,40.7763601393,0.799500110448,4405.53
2016-03-28,1.0,39.3234433711,0.744279658058,4398.07
2016-03-29,1.0,53.4674992546,0.721683917571,4467.72
2016-03-30,1.0,45.08038996,0.73594436468,4490.88
2016-03-31,1.0,39.6380379639,0.823363057602,4483.66
2016-04-01,1.0,52.2438170509,0.87135468061,4532.08
2016-04-04,1.0,40.4235942801,0.860816763612,4511.7
2016-04-05,1.0,44.2654684561,0.944743987548,4470.75
2016-04-06,1.0,50.3428265015,0.981925623565,4543.78
2016-04-07,1.0,52.6101808167,0.968726095206,4475.29
2016-04-08,1.0,46.2920575964,0.963615283598,4474.93
2016-04-11,1.0,46.5554522111,0.960148624402,4458.71
2016-04-12,1.0,49.0649054448,0.954213454795,4496.04
