date,nav,cash,all_cash,trend_signal,vol,prob,close
2015-04-08,1000000.0,1000000.0,,0.0,46.2883451698,0.769308434901,4375.96
2015-04-09,1000000.0,1000000.0,,0.0,48.5409614492,0.720846990743,4403.95
2015-04-10,1000000.0,1000000.0,,0.0,41.9243847957,0.722982255854,4422.02
2015-04-13,1000000.0,1000000.0,,1.0,47.2222523179,0.621057599628,4409.21
2015-04-14,1000000.0,1000000.0,,1.0,48.2721515004,0.534793968079,4397.64
2015-04-15,1000000.0,1000000.0,,1.0,45.7056243979,0.581414328539,4424.53
2015-04-16,1000000.0,1000000.0,,1.0,37.7000125045,0.560879090258,4418.83
2015-04-17,1000000.0,1000000.0,,1.0,65.3905104815,0.403743368454,4351.8
2015-04-20,1000000.0,1000000.0,,1.0,59.6930654165,0.466531391627,4417.4
2015-04-21,1000000.0,1000000.0,,1.0,42.8586755735,0.487336223174,4435.98
2015-04-22,1000000.0,1000000.0,,1.0,49.4859391703,0.526677949739,4460.81
2015-04-23,1000000.0,1000000.0,,1.0,51.2897330678,0.571052551754,4477.07
2015-04-24,1000000.0,1000000.0,,1.0,57.3431029983,0.628733102288,4536.78
2015-04-27,1000000.0,1000000.0,,1.0,48.8471025343,0.644579366699,4525.04
2015-04-28,1000000.0,1000000.0,,1.0,53.8147344014,0.563141131558,4515.27
2015-04-29,1000000.0,1000000.0,,1.0,51.6575698322,0.558733152747,4488.15
2015-04-30,1000000.0,1000000.0,,1.0,68.0588183427,0.461275854442,4414.25
2015-05-01,1000000.0,1000000.0,,1.0,47.7404565323,0.552430115341,4479.06
2015-05-04,1000000.0,1000000.0,,1.0,42.6936629495,0.639355350876,4482.61
2015-05-05,1000000.0,1000000.0,,1.0,60.7783337386,0.505958288867,4409.39
2015-05-06,1000000.0,1000000.0,,0.0,62.5782483416,0.592177374399,4379.75
2015-05-07,1000000.0,1000000.0,,0.0,46.2730814551,0.662295657519,4401.55
2015-05-08,1000000.0,1000000.0,,0.0,56.1602038929,0.695771224796,4458.65
2015-05-11,1000000.0,1000000.0,,0.0,42.3639288789,0.698515844232,4438.64
2015-05-12,1000000.0,1000000.0,,0.0,54.5616239517,0.591127997974,4420.65
2015-05-13,1000000.0,1000000.0,,0.0,45.8969137571,0.592203781645,4426.56
2015-05-14,1000000.0,1000000.0,,0.0,58.1155948817,0.622377252715,4495.04
2015-05-15,1000000.0,1000000.0,,0.0,40.3182640417,0.614772749266,4494.29
2015-05-18,1000000.0,1000000.0,,1.0,44.79921514,0.594996314098,4512.95
2015-05-19,1000000.0,1000000.0,,1.0,39.1112819019,0.600981132777,4503.72
2015-05-20,1000000.0,1000000.0,,1.0,49.8989024811,0.625579181651,4505.3
2015-05-21,1000000.0,1000000.0,,1.0,46.8089211937,0.815210972186,4529.47
2015-05-22,1000000.0,1000000.0,,1.0,37.7930119965,0.82956444381,4527.16
2015-05-26,1000000.0,1000000.0,,1.0,58.5713672593,0.733944725726,4472.96
2015-05-27,1000000.0,1000000.0,,1.0,61.8185094459,0.757684626482,4546.06
2015-05-28,1000000.0,1000000.0,,1.0,39.757433261,0.811483303921,4535.66
