date,open,high,low,close,ma5,ma10,ma20,ma50,ma200,ma1000,mva_band,std200,std50,cci,s_pct_k,s_pct_d,stoch,wr,tr1,tr2,tr3,month_change,tr,ztr,vol,fevol,fesignal,drtns,cc_delta,cc_pct,oc_delta,oc_pct,co_delta,co_pct,ret_daily,ret_today,ret_open,rtnvol,cr,mom,atr,3atr,ir,avg_tr,max_ir_window,min_ir_window,max_cplunger,min_cplunger,prob,macd,dx,stochStrength,cciStrength,macd_signal,macd_dur,macd_last_dur,is_churning
2015-04-27,4548.51,4562.33,4516.33,4525.04,,,,,,,,,,,82.4435028249,82.4435028249,82.4435028249,,46.0,,,,,,,,False,,,,,,-23.47,-0.00515993149405,,-0.00515993149405,,,,,,,,,,,,,,,,0,0,1,0,0,0
2015-04-28,4529.41,4537.14,4479.01,4515.27,,,,,,,,,,,79.3769617075,80.3991420799,80.3991420799,,58.13,12.1,46.03,0.0,,,,,False,-0.00215909693616,-9.77,-0.00215909693616,4.37,0.000965737319449,-14.14,-0.00312181939811,-0.00215909693616,-0.00312181939811,0.000965737319449,,,,,,,,,,,,,,,0,0,1,0,0,0
2015-04-29,4490.57,4517.01,4463.98,4488.15,,,,,,,,,,,71.2046004843,75.145118311,75.145118311,,53.03,1.74,51.29,0.0,,,,,False,-0.00600628533842,-27.12,-0.00600628533842,-24.7,-0.00547032624849,-2.42,-0.000538907087519,-0.00600628533842,-0.000538907087519,-0.00547032624849,,,,,,,,,,,,,,,-1,0,1,0,0,0
2015-04-30,4459.23,4480.36,4395.1,4414.25,,,,,,,,,,,49.379472693,61.4034406481,61.4034406481,,85.26,7.79,93.05,0.0,,,,,False,-0.0164655815871,-73.9,-0.0164655815871,-28.92,-0.00644363490525,-44.98,-0.0100869432615,-0.0164655815871,-0.0100869432615,-0.00644363490525,,,,,,,,,,,,,,,-1,0,1,0,0,0
2015-05-01,4437.7,4479.06,4435.24,4479.06,4484.354,,,,,,,,,,55.2717028127,58.238672733,58.238672733,,43.82,0.0,0.0,1.0,,,,,False,0.014681995809,64.81,0.014681995809,23.45,0.00531234071473,41.36,0.00932014331748,0.014681995809,0.00932014331748,0.00531234071473,,,,,,,,,,,,,,,-1,0,1,0,0,0
2015-05-04,4491.19,4510.47,4480.85,4482.61,4475.868,,,,,,,,,,58.9264789406,58.5880346162,58.5880346162,,29.62,31.41,1.79,0.0,,,,,False,0.000792577013927,3.55,0.000792577013927,12.13,0.00270815751519,-8.58,-0.00191040681868,0.000792577013927,-0.00191040681868,0.00270815751519,,,,,,,,,,,,,,,0,0,1,0,0,0
2015-05-05,4464.21,4472.23,4407.27,4409.39,4454.692,,,,,,,,,,43.3386345775,50.9032975888,50.9032975888,,64.96,10.38,75.34,0.0,,,,,False,-0.0163342338504,-73.22,-0.0163342338504,-18.4,-0.00410475147291,-54.82,-0.0122798882669,-0.0163342338504,-0.0122798882669,-0.00410475147291,,,,,,,,,,,,,,,0,0,1,0,0,0
2015-05-06,4420.3,4429.96,4349.93,4379.75,4433.012,,,,,,,,,,28.6316421107,39.7237999371,39.7237999371,,80.03,20.57,59.46,0.0,,,,,False,-0.00672201823835,-29.64,-0.00672201823835,10.91,0.00247426514779,-40.55,-0.00917358550325,-0.00672201823835,-0.00917358550325,0.00247426514779,,,,,,,,,,,,,,,-1,0,1,0,0,0
2015-05-07,4377.81,4413.73,4373.29,4401.55,4430.472,,,,,,,,,,26.4631865439,33.0805180806,33.0805180806,,40.44,33.98,6.46,0.0,,,,,False,0.00497745305097,21.8,0.00497745305097,-1.94,-0.00044294765683,23.74,0.00542280272556,0.00497745305097,0.00542280272556,-0.00044294765683,,,,,,,,,,,,,,,-1,0,1,0,0,0
2015-05-08,4445.0,4466.17,4441.73,4458.65,4426.39,4455.372,,,,,,,,,38.8368973128,35.9615211763,35.9615211763,,24.44,64.62,40.18,0.0,,,,,False,0.0129727027979,57.1,0.0129727027979,43.45,0.00987152253184,13.65,0.00307086614173,0.0129727027979,0.00307086614173,0.00987152253184,,,,,,,,,,,,,,,0,0,1,0,0,0
2015-05-11,4457.62,4468.75,4437.53,4438.64,4417.596,4446.732,,,,,,,,,40.3019323671,38.1327869601,38.1327869601,,31.22,10.1,21.12,0.0,,,,,False,-0.00448790553194,-20.01,-0.00448790553194,-1.03,-0.00023101162908,-18.98,-0.00425787752209,-0.00448790553194,-0.00425787752209,-0.00023101162908,,,,,,,,,,,,,,,1,0,1,0,0,0
2015-05-12,4412.82,4441.4,4380.52,4420.65,4419.848,4437.27,,,,,,,,,36.7979449929,37.4652029921,37.4652029921,,60.88,2.76,58.12,0.0,,,,,False,-0.00405304327452,-17.99,-0.00405304327452,-25.82,-0.00581709712885,7.83,0.00177437556936,-0.00405304327452,0.00177437556936,-0.00581709712885,,,,,,,,,,,,,,,0,0,1,0,0,0
2015-05-13,4436.08,4460.54,4421.75,4426.56,4429.21,4431.111,,,,,,,,,36.4380057713,36.9515416789,36.9515416789,,38.79,39.89,1.1,0.0,,,,,False,0.00133690746836,5.91,0.00133690746836,15.43,0.0034904369267,-9.52,-0.00214603884511,0.00133690746836,-0.00214603884511,0.0034904369267,,,,,,,,,,,,,,,-1,0,1,0,0,0
